Airport,Type,City,Country,IATA,ICAO,FAA
Anaa,Medium airport,,French Polynesia,AAA,NTGA,
Arrabury,Small airport,,Australia,AAB,YARY,
El Arish International,Medium airport,El Arish,Egypt,AAC,HEAR,
Ad-Dabbah잺losed,Closed,Ad-Dabbah,Sudan,AAD,,
Rabah Bitat,Medium airport,Annaba,Algeria,AAE,DABB,
Apalachicola Regional,Small airport,Apalachicola,United States,AAF,KAAF,AAF
Arapoti,Small airport,Arapoti,Brazil,AAG,SSYA,
Aachen-Merzbr?k,Small airport,Aachen,Germany,AAH,EDKA,
Arraias,Small airport,Arraias,Brazil,AAI,SWRA,
Cayana Airstrip,Small airport,Awaradam,Suriname,AAJ,SMCA,
Buariki,Small airport,Buariki,Kiribati,AAK,NGUK,
Aalborg,Large airport,Aalborg,Denmark,AAL,EKYT,
Malamala,Medium airport,Malamala,South Africa,AAM,FAMD,
Al Ain International,Medium airport,Al Ain,United Arab Emirates,AAN,OMAL,
Anaco,Medium airport,Anaco,Venezuela,AAO,SVAN,
Andrau Airpark잺losed,Closed,Houston,United States,AAP,KAAP,
Anapa Vityazevo,Medium airport,Anapa,Russia,AAQ,URKA,
Aarhus,Medium airport,Aarhus,Denmark,AAR,EKAH,
Apalapsili,Small airport,Apalapsili,Indonesia,AAS,,
Altay Air Base,Medium airport,Altay,China,AAT,ZWAT,
Asau,Small airport,Asau,Samoa,AAU,NSAU,
Allah Valley,Medium airport,Surallah,Philippines,AAV,RPMA,
Abbottabad,Small airport,Abbottabad,Pakistan,AAW,OPAB,
Romeu Zema,Small airport,Arax?Brazil,AAX,SBAX,,
Al Ghaidah International,Medium airport,,Yemen,AAY,OYGD,
Quezaltenango,Small airport,Quezaltenango,Guatemala,AAZ,MGQZ,
Abakan,Medium airport,Abakan,Russia,ABA,UNAA,
Asaba International,Medium airport,Asaba,Nigeria,ABB,DNAS,
Albacete-Los Llanos,Medium airport,Albacete,Spain,ABC,LEAB,
Abadan,Medium airport,Abadan,Iran,ABD,OIAA,
Lehigh Valley International,Medium airport,Allentown,United States,ABE,KABE,ABE
Abaiang,Small airport,Abaiang,Kiribati,ABF,NGAB,
Abingdon Downs,Small airport,,Australia,ABG,YABI,
Alpha,Medium airport,Alpha,Australia,ABH,YAPH,
Abilene Regional,Medium airport,Abilene,United States,ABI,KABI,ABI
Port Bouet,Medium airport,Abidjan,C?e d'Ivoire,ABJ,DIAP,
Kabri Dehar,Small airport,Kabri Dehar,Ethiopia,ABK,HAKD,
Ambler,Medium airport,Ambler,United States,ABL,PAFM,AFM
Northern Peninsula,Small airport,Bamaga,Australia,ABM,YNPE,
Albina,Small airport,Albina,Suriname,ABN,SMBN,
Aboisso잺losed,Closed,Aboisso,C?e d'Ivoire,ABO,,
Albuquerque International Sunport,Large airport,Albuquerque,United States,ABQ,KABQ,ABQ
Aberdeen Regional,Medium airport,Aberdeen,United States,ABR,KABR,ABR
Abu Simbel,Medium airport,Abu Simbel,Egypt,ABS,HEBL,
Al Baha,Medium airport,,Saudi Arabia,ABT,OEBA,
